lat,lng,rotation
48.876684999999995,2.175765,255
48.876684999999995,2.175765,256
48.876684999999995,2.175765,250
48.876705,2.175806666666667,252
48.876705,2.175806666666667,253
48.876705,2.175806666666667,264
48.876741666666675,2.1758333333333337,266
48.876741666666675,2.1758333333333337,267
48.876741666666675,2.1758333333333337,260
48.87675333333333,2.175885,256
48.87675333333333,2.175885,251
48.87675333333333,2.175885,252
48.87678833333333,2.1759616666666663,259
48.87678833333333,2.1759616666666663,260
48.87678833333333,2.1759616666666663,256
48.876776666666665,2.1760533333333334,257
